Id,Label,content,node_type,transcript_id,node_multiplicity
74,The content is engaging and workload is manageable...,"The content is engaging and workload is manageable, but there's too much theory and not enough practical application",reason,5,1
75,Would you feel comfortable if more advanced semina...,Would you feel comfortable if more advanced seminars were offered only in English?,question,5,1
76,"Yes, definitely...","Yes, definitely",answer,5,1
77,As long as theres some support for students who mi...,"As long as theres some support for students who might struggle a bit with academic English, I think that would be a good move",reason,5,1
78,How satisfied are you with the availability and re...,How satisfied are you with the availability and responsiveness of the teaching staff?,question,5,1
79,"Overall, quite satisfied. Most professors respond ...","Overall, quite satisfied. Most professors respond to emails quickly and are open to questions during office hours. However, in larger lectures, its sometimes hard to get individual feedback unless you make an extra effort.",answer,5,1
80,"Professors are responsive and available, but indiv...","Professors are responsive and available, but individual feedback is difficult to obtain in larger lectures",reason,5,1
81,How do you feel about the use of digital platforms...,"How do you feel about the use of digital platforms like Moodle, Zoom, or lecture recordings?",question,5,1
82,I really appreciate recorded lectures and Moodle r...,"I really appreciate recorded lectures and Moodle resources. It helps me review the material at my own pace. Zoom is okay for seminars, but I still prefer in-person discussions when possible.",answer,5,1
83,Recorded lectures and Moodle help with self-paced ...,"Recorded lectures and Moodle help with self-paced review, while in-person discussions are preferred over Zoom for seminars",reason,5,1
84,Have you had enough opportunities to apply your kn...,"Have you had enough opportunities to apply your knowledge in real-world settings, like internships, project work, or case studies?",question,5,1
85,"Honestly, not really...","Honestly, not really",answer,5,1
86,I think more structured opportunitiesmaybe embedde...,"I think more structured opportunitiesmaybe embedded internships or partnerships with companieswould be great. Right now, you really have to seek those out yourself",reason,5,1
